Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Fri, Aug 07, 2015",66,53,38,1,63,10,3X
"Tue, Aug 04, 2015",51,19,44,2,57,14,2X
"Fri, Jul 31, 2015",33,32,46,28,40,10,4X
"Tue, Jul 28, 2015",75,35,68,61,8,15,5X
"Fri, Jul 24, 2015",10,62,60,26,12,13,5X
"Tue, Jul 21, 2015",74,30,20,65,62,1,5X
"Fri, Jul 17, 2015",30,6,31,41,17,15,3X
"Tue, Jul 14, 2015",35,24,72,19,30,5,3X
"Tue, Jul 14, 2015",35,24,72,19,30,5,3X
"Fri, Jul 10, 2015",24,27,54,45,51,8,3X
"Tue, Jul 07, 2015",6,49,16,28,15,14,3X
"Fri, Jul 03, 2015",33,50,64,71,72,9,4X
"Tue, Jun 30, 2015",43,34,17,11,50,15,4X
"Fri, Jun 26, 2015",33,12,50,47,23,3,5X
"Tue, Jun 23, 2015",38,70,56,13,6,2,5X
"Fri, Jun 19, 2015",4,52,36,68,35,8,3X
"Tue, Jun 16, 2015",56,26,67,19,8,14,2X
"Fri, Jun 12, 2015",42,40,56,62,1,2,5X
"Tue, Jun 09, 2015",17,16,6,25,36,7,5X
"Fri, Jun 05, 2015",49,7,27,41,22,10,4X
"Tue, Jun 02, 2015",2,11,22,9,23,12,4X
"Fri, May 29, 2015",49,38,66,20,27,2,4X
"Fri, May 29, 2015",49,38,66,20,27,2,4X
"Tue, May 26, 2015",72,52,69,39,1,12,4X
"Fri, May 22, 2015",48,15,25,14,3,8,5X
"Tue, May 19, 2015",65,10,21,29,12,10,5X
"Fri, May 15, 2015",36,11,17,21,74,15,5X
"Tue, May 12, 2015",44,30,14,36,33,2,5X
"Fri, May 08, 2015",25,21,9,66,72,7,3X
"Tue, May 05, 2015",21,42,62,11,71,7,5X
"Fri, May 01, 2015",61,66,18,17,74,3,3X
"Tue, Apr 28, 2015",63,27,58,22,55,11,5X
"Fri, Apr 24, 2015",24,67,47,25,29,4,4X
"Tue, Apr 21, 2015",35,69,41,31,33,11,5X
"Fri, Apr 17, 2015",50,18,29,41,15,5,2X
"Tue, Apr 14, 2015",68,7,71,25,3,3,5X
"Fri, Apr 10, 2015",68,6,11,32,46,9,2X
"Tue, Apr 07, 2015",22,15,26,5,64,6,4X
"Fri, Apr 03, 2015",10,74,63,36,47,2,5X
"Tue, Mar 31, 2015",26,61,41,73,8,11,5X
"Fri, Mar 27, 2015",58,17,70,36,21,3,5X
"Tue, Mar 24, 2015",23,2,45,55,32,12,2X
"Fri, Mar 20, 2015",7,54,61,75,50,7,4X
"Tue, Mar 17, 2015",44,45,11,58,27,3,5X
"Fri, Mar 13, 2015",42,45,8,30,22,3,5X
"Tue, Mar 10, 2015",73,10,30,14,19,14,5X
"Fri, Mar 06, 2015",55,73,30,48,68,5,3X
"Tue, Mar 03, 2015",11,9,44,50,42,3,4X
"Fri, Feb 27, 2015",60,53,7,64,49,4,2X
"Tue, Feb 24, 2015",23,26,66,15,45,4,3X
"Fri, Feb 20, 2015",8,2,6,66,52,13,3X
"Tue, Feb 17, 2015",50,66,45,65,6,1,5X
"Fri, Feb 13, 2015",4,74,44,20,65,14,3X
"Tue, Feb 10, 2015",42,58,71,7,53,15,2X
"Fri, Feb 06, 2015",6,68,33,17,5,13,3X
"Tue, Feb 03, 2015",25,22,69,11,58,13,5X
"Fri, Jan 30, 2015",18,31,39,45,55,6,5X
